Time: 2023-04-15 16:05:30.100977, Key pressed: =
Time: 2023-04-15 16:05:31.606736, Key pressed: =
Time: 2023-04-15 16:05:33.100986, Key pressed: =
Time: 2023-04-15 16:05:34.597023, Key pressed: =
Time: 2023-04-15 16:05:36.091734, Key pressed: =
Time: 2023-04-15 16:05:37.596602, Key pressed: =
Time: 2023-04-15 16:05:39.091953, Key pressed: =
Time: 2023-04-15 16:05:40.596769, Key pressed: =
Time: 2023-04-15 16:05:42.096716, Key pressed: =
Time: 2023-04-15 16:05:43.591377, Key pressed: =
Time: 2023-04-15 16:05:45.096928, Key pressed: =
Time: 2023-04-15 16:05:46.601117, Key pressed: =
Time: 2023-04-15 16:05:48.096921, Key pressed: =
Time: 2023-04-15 16:05:49.596711, Key pressed: =
Time: 2023-04-15 16:05:51.096149, Key pressed: =
Time: 2023-04-15 16:05:52.595612, Key pressed: =
Time: 2023-04-15 16:05:54.096065, Key pressed: =
Time: 2023-04-15 16:05:55.596511, Key pressed: =
Time: 2023-04-15 16:05:57.100498, Key pressed: =
Time: 2023-04-15 16:05:58.109724, Key pressed: 2
Time: 2023-04-15 16:05:58.590822, Key pressed: =
Time: 2023-04-15 16:05:58.737408, Key pressed: 2
Time: 2023-04-15 16:05:59.081878, Key pressed: 2
Time: 2023-04-15 16:05:59.770519, Key pressed: 2
Time: 2023-04-15 16:06:00.096093, Key pressed: =
Time: 2023-04-15 16:06:00.690929, Key pressed: 2
Time: 2023-04-15 16:06:01.460276, Key pressed: 2
Time: 2023-04-15 16:06:01.590441, Key pressed: =
Time: 2023-04-15 16:06:03.097337, Key pressed: =
Time: 2023-04-15 16:06:04.595771, Key pressed: =
Time: 2023-04-15 16:06:06.096080, Key pressed: =
Time: 2023-04-15 16:06:06.525665, Key pressed: 2
Time: 2023-04-15 16:06:07.596143, Key pressed: =
Time: 2023-04-15 16:06:07.972648, Key pressed: 3
Time: 2023-04-15 16:06:09.096857, Key pressed: =
Time: 2023-04-15 16:06:10.600716, Key pressed: =
Time: 2023-04-15 16:06:12.096479, Key pressed: =
Time: 2023-04-15 16:06:13.600662, Key pressed: =
Time: 2023-04-15 16:06:15.095863, Key pressed: =
Time: 2023-04-15 16:06:16.596247, Key pressed: =
Time: 2023-04-15 16:06:18.095928, Key pressed: =
Time: 2023-04-15 16:06:19.596341, Key pressed: =
Time: 2023-04-15 16:06:21.095821, Key pressed: =
Time: 2023-04-15 16:06:22.600273, Key pressed: =
Time: 2023-04-15 16:06:24.095717, Key pressed: =
Time: 2023-04-15 16:06:25.595694, Key pressed: =
Time: 2023-04-15 16:06:27.096015, Key pressed: =
Time: 2023-04-15 16:06:28.595762, Key pressed: =
Time: 2023-04-15 16:06:30.090519, Key pressed: =
Time: 2023-04-15 16:06:31.595763, Key pressed: =
Time: 2023-04-15 16:06:33.095845, Key pressed: =
Time: 2023-04-15 16:06:34.600240, Key pressed: =
Time: 2023-04-15 16:06:36.100273, Key pressed: =
Time: 2023-04-15 16:06:37.586140, Key pressed: =
Time: 2023-04-15 16:06:39.095999, Key pressed: =
Time: 2023-04-15 16:06:40.595714, Key pressed: =
Time: 2023-04-15 16:06:42.090491, Key pressed: =
Time: 2023-04-15 16:06:43.595812, Key pressed: =
Time: 2023-04-15 16:06:45.095775, Key pressed: =
Time: 2023-04-15 16:06:46.595751, Key pressed: =
Time: 2023-04-15 16:06:48.095812, Key pressed: =
Time: 2023-04-15 16:06:49.595867, Key pressed: =
Time: 2023-04-15 16:06:51.095818, Key pressed: =
Time: 2023-04-15 16:06:52.595802, Key pressed: =
Time: 2023-04-15 16:06:54.100465, Key pressed: =
Time: 2023-04-15 16:06:55.596064, Key pressed: =
Time: 2023-04-15 16:06:57.096512, Key pressed: =
Time: 2023-04-15 16:06:58.596078, Key pressed: =
Time: 2023-04-15 16:07:00.100382, Key pressed: =
Time: 2023-04-15 16:07:01.600360, Key pressed: =
Time: 2023-04-15 16:07:03.100226, Key pressed: =
Time: 2023-04-15 16:07:04.590888, Key pressed: =
Time: 2023-04-15 16:07:06.100392, Key pressed: =
Time: 2023-04-15 16:07:07.600765, Key pressed: =
Time: 2023-04-15 16:07:09.096078, Key pressed: =
Time: 2023-04-15 16:07:10.600402, Key pressed: =
Time: 2023-04-15 16:07:12.100755, Key pressed: =
Time: 2023-04-15 16:07:12.218253, Key pressed: 2
Time: 2023-04-15 16:07:12.933979, Key pressed: 2
Time: 2023-04-15 16:07:13.591870, Key pressed: =
Time: 2023-04-15 16:07:13.761417, Key pressed: 2
Time: 2023-04-15 16:07:14.394810, Key pressed: 1
Time: 2023-04-15 16:07:14.649906, Key pressed: 1
Time: 2023-04-15 16:07:14.684337, Key pressed: 1
Time: 2023-04-15 16:07:15.100348, Key pressed: =
Time: 2023-04-15 16:07:16.600438, Key pressed: =
Time: 2023-04-15 16:07:18.100415, Key pressed: =
Time: 2023-04-15 16:07:18.166323, Key pressed: 2
Time: 2023-04-15 16:07:18.740343, Key pressed: 2
Time: 2023-04-15 16:07:19.366350, Key pressed: 2
Time: 2023-04-15 16:07:19.591596, Key pressed: =
Time: 2023-04-15 16:07:19.896940, Key pressed: 2
Time: 2023-04-15 16:07:20.335895, Key pressed: 2
Time: 2023-04-15 16:07:20.688740, Key pressed: 2
Time: 2023-04-15 16:07:21.019783, Key pressed: 2
Time: 2023-04-15 16:07:21.106310, Key pressed: =
Time: 2023-04-15 16:07:21.663176, Key pressed: 2
Time: 2023-04-15 16:07:22.060933, Key pressed: 2
Time: 2023-04-15 16:07:22.606124, Key pressed: =
Time: 2023-04-15 16:07:22.653516, Key pressed: 2
Time: 2023-04-15 16:07:23.046605, Key pressed: 2
Time: 2023-04-15 16:07:23.664839, Key pressed: 2
Time: 2023-04-15 16:07:24.091082, Key pressed: =
Time: 2023-04-15 16:07:24.992529, Key pressed: 2
Time: 2023-04-15 16:07:25.595813, Key pressed: =
Time: 2023-04-15 16:07:27.100651, Key pressed: =
Time: 2023-04-15 16:07:27.162739, Key pressed: 3
Time: 2023-04-15 16:07:28.595840, Key pressed: =
Time: 2023-04-15 16:07:30.100456, Key pressed: =
Time: 2023-04-15 16:07:31.596096, Key pressed: =
Time: 2023-04-15 16:07:33.095967, Key pressed: =
Time: 2023-04-15 16:07:34.596160, Key pressed: =
Time: 2023-04-15 16:07:36.091498, Key pressed: =
Time: 2023-04-15 16:07:37.600500, Key pressed: =
Time: 2023-04-15 16:07:39.100748, Key pressed: =
Time: 2023-04-15 16:07:40.591173, Key pressed: =
Time: 2023-04-15 16:07:42.096492, Key pressed: =
Time: 2023-04-15 16:07:43.600475, Key pressed: =
Time: 2023-04-15 16:07:45.100582, Key pressed: =
Time: 2023-04-15 16:07:45.196492, Key pressed: 2
Time: 2023-04-15 16:07:45.822384, Key pressed: 2
Time: 2023-04-15 16:07:46.606276, Key pressed: =
Time: 2023-04-15 16:07:46.733738, Key pressed: 2
Time: 2023-04-15 16:07:47.453097, Key pressed: 2
Time: 2023-04-15 16:07:47.865853, Key pressed: 2
Time: 2023-04-15 16:07:48.105601, Key pressed: =
Time: 2023-04-15 16:07:48.350852, Key pressed: 2
Time: 2023-04-15 16:07:48.884318, Key pressed: 2
Time: 2023-04-15 16:07:49.407060, Key pressed: 2
Time: 2023-04-15 16:07:49.606956, Key pressed: =
Time: 2023-04-15 16:07:49.749731, Key pressed: 2
Time: 2023-04-15 16:07:50.340043, Key pressed: 2
Time: 2023-04-15 16:07:50.592349, Key pressed: 2
Time: 2023-04-15 16:07:50.625917, Key pressed: 2
Time: 2023-04-15 16:07:51.091254, Key pressed: =
Time: 2023-04-15 16:07:52.596424, Key pressed: =
Time: 2023-04-15 16:07:54.106892, Key pressed: =
Time: 2023-04-15 16:07:55.596659, Key pressed: =
Time: 2023-04-15 16:07:57.100498, Key pressed: =
Time: 2023-04-15 16:07:58.590867, Key pressed: =
Time: 2023-04-15 16:08:00.090958, Key pressed: =
Time: 2023-04-15 16:08:01.591038, Key pressed: =
Time: 2023-04-15 16:08:03.106913, Key pressed: =
Time: 2023-04-15 16:08:03.175844, Key pressed: 2
Time: 2023-04-15 16:08:03.423883, Key pressed: 2
Time: 2023-04-15 16:08:03.971349, Key pressed: 2
Time: 2023-04-15 16:08:04.596429, Key pressed: =
Time: 2023-04-15 16:08:05.350007, Key pressed: 2
Time: 2023-04-15 16:08:05.604809, Key pressed: 2
Time: 2023-04-15 16:08:05.638623, Key pressed: 2
Time: 2023-04-15 16:08:06.096045, Key pressed: =
Time: 2023-04-15 16:08:06.311506, Key pressed: 3
Time: 2023-04-15 16:08:06.562365, Key pressed: 3
Time: 2023-04-15 16:08:06.595832, Key pressed: 3
Time: 2023-04-15 16:08:07.596727, Key pressed: =
Time: 2023-04-15 16:08:09.091753, Key pressed: =
Time: 2023-04-15 16:08:10.600565, Key pressed: =
Time: 2023-04-15 16:08:12.096157, Key pressed: =
Time: 2023-04-15 16:08:13.591547, Key pressed: =
Time: 2023-04-15 16:08:15.100469, Key pressed: =
Time: 2023-04-15 16:08:16.596137, Key pressed: =
Time: 2023-04-15 16:08:18.096631, Key pressed: =
Time: 2023-04-15 16:08:19.596691, Key pressed: =
Time: 2023-04-15 16:08:21.091085, Key pressed: =
Time: 2023-04-15 16:08:22.600702, Key pressed: =
Time: 2023-04-15 16:08:24.100593, Key pressed: =
Time: 2023-04-15 16:08:25.591154, Key pressed: =
Time: 2023-04-15 16:08:27.106751, Key pressed: =
Time: 2023-04-15 16:08:27.413254, Key pressed: 2
Time: 2023-04-15 16:08:27.909592, Key pressed: 2
Time: 2023-04-15 16:08:28.357156, Key pressed: 2
Time: 2023-04-15 16:08:28.596808, Key pressed: =
Time: 2023-04-15 16:08:28.707056, Key pressed: 2
