Time: 2023-04-15 16:06:06.898467, Key pressed: =
Time: 2023-04-15 16:06:08.383720, Key pressed: =
Time: 2023-04-15 16:06:09.888019, Key pressed: =
Time: 2023-04-15 16:06:11.391914, Key pressed: =
Time: 2023-04-15 16:06:12.887359, Key pressed: =
Time: 2023-04-15 16:06:14.392348, Key pressed: =
Time: 2023-04-15 16:06:15.891851, Key pressed: =
Time: 2023-04-15 16:06:17.387997, Key pressed: =
Time: 2023-04-15 16:06:18.887684, Key pressed: =
Time: 2023-04-15 16:06:20.382832, Key pressed: =
Time: 2023-04-15 16:06:21.888183, Key pressed: =
Time: 2023-04-15 16:06:23.383570, Key pressed: =
Time: 2023-04-15 16:06:24.899696, Key pressed: =
Time: 2023-04-15 16:06:26.388676, Key pressed: =
Time: 2023-04-15 16:06:27.889013, Key pressed: =
Time: 2023-04-15 16:06:29.383965, Key pressed: =
Time: 2023-04-15 16:06:30.883097, Key pressed: =
Time: 2023-04-15 16:06:32.388488, Key pressed: =
Time: 2023-04-15 16:06:33.888624, Key pressed: =
Time: 2023-04-15 16:06:35.383433, Key pressed: =
Time: 2023-04-15 16:06:36.883452, Key pressed: =
Time: 2023-04-15 16:06:38.383031, Key pressed: =
Time: 2023-04-15 16:06:39.882564, Key pressed: =
Time: 2023-04-15 16:06:41.382586, Key pressed: =
Time: 2023-04-15 16:06:42.892539, Key pressed: =
Time: 2023-04-15 16:06:44.387725, Key pressed: =
Time: 2023-04-15 16:06:45.892141, Key pressed: =
Time: 2023-04-15 16:06:47.382632, Key pressed: =
Time: 2023-04-15 16:06:48.888221, Key pressed: =
Time: 2023-04-15 16:06:50.372923, Key pressed: =
Time: 2023-04-15 16:06:51.888181, Key pressed: =
Time: 2023-04-15 16:06:53.388886, Key pressed: =
Time: 2023-04-15 16:06:54.887745, Key pressed: =
Time: 2023-04-15 16:06:56.387993, Key pressed: =
Time: 2023-04-15 16:06:57.887626, Key pressed: =
Time: 2023-04-15 16:06:59.387447, Key pressed: =
Time: 2023-04-15 16:07:00.887936, Key pressed: =
Time: 2023-04-15 16:07:02.388185, Key pressed: =
Time: 2023-04-15 16:07:03.892214, Key pressed: =
Time: 2023-04-15 16:07:05.388060, Key pressed: =
Time: 2023-04-15 16:07:06.887510, Key pressed: =
Time: 2023-04-15 16:07:08.386958, Key pressed: =
Time: 2023-04-15 16:07:09.891826, Key pressed: =
Time: 2023-04-15 16:07:11.387761, Key pressed: =
Time: 2023-04-15 16:07:12.887826, Key pressed: =
Time: 2023-04-15 16:07:14.387545, Key pressed: =
Time: 2023-04-15 16:07:15.892580, Key pressed: =
Time: 2023-04-15 16:07:17.387492, Key pressed: =
Time: 2023-04-15 16:07:18.892269, Key pressed: =
Time: 2023-04-15 16:07:20.391820, Key pressed: =
Time: 2023-04-15 16:07:21.888337, Key pressed: =
Time: 2023-04-15 16:07:23.388508, Key pressed: =
Time: 2023-04-15 16:07:24.891752, Key pressed: =
Time: 2023-04-15 16:07:26.382705, Key pressed: =
Time: 2023-04-15 16:07:27.888495, Key pressed: =
Time: 2023-04-15 16:07:29.383614, Key pressed: =
Time: 2023-04-15 16:07:30.883603, Key pressed: =
Time: 2023-04-15 16:07:32.387469, Key pressed: =
Time: 2023-04-15 16:07:33.883140, Key pressed: =
Time: 2023-04-15 16:07:35.388185, Key pressed: =
Time: 2023-04-15 16:07:36.883237, Key pressed: =
Time: 2023-04-15 16:07:38.391968, Key pressed: =
Time: 2023-04-15 16:07:39.883207, Key pressed: =
Time: 2023-04-15 16:07:41.382593, Key pressed: =
Time: 2023-04-15 16:07:42.883548, Key pressed: =
Time: 2023-04-15 16:07:44.383429, Key pressed: =
Time: 2023-04-15 16:07:45.888494, Key pressed: =
Time: 2023-04-15 16:07:47.391536, Key pressed: =
Time: 2023-04-15 16:07:48.891761, Key pressed: =
Time: 2023-04-15 16:07:50.383086, Key pressed: =
Time: 2023-04-15 16:07:51.892259, Key pressed: =
Time: 2023-04-15 16:07:53.391527, Key pressed: =
Time: 2023-04-15 16:07:54.887561, Key pressed: =
Time: 2023-04-15 16:07:56.387447, Key pressed: =
Time: 2023-04-15 16:07:57.886669, Key pressed: =
Time: 2023-04-15 16:07:59.382041, Key pressed: =
Time: 2023-04-15 16:08:00.891512, Key pressed: =
Time: 2023-04-15 16:08:02.387492, Key pressed: =
Time: 2023-04-15 16:08:03.891468, Key pressed: =
Time: 2023-04-15 16:08:05.382726, Key pressed: =
Time: 2023-04-15 16:08:06.877414, Key pressed: =
Time: 2023-04-15 16:08:08.391108, Key pressed: =
Time: 2023-04-15 16:08:09.887451, Key pressed: =
Time: 2023-04-15 16:08:11.391352, Key pressed: =
Time: 2023-04-15 16:08:12.881802, Key pressed: =
Time: 2023-04-15 16:08:14.387049, Key pressed: =
Time: 2023-04-15 16:08:15.887350, Key pressed: =
Time: 2023-04-15 16:08:17.387431, Key pressed: =
Time: 2023-04-15 16:08:18.887343, Key pressed: =
Time: 2023-04-15 16:08:20.387483, Key pressed: =
Time: 2023-04-15 16:08:21.882710, Key pressed: =
Time: 2023-04-15 16:08:23.377843, Key pressed: =
Time: 2023-04-15 16:08:24.886677, Key pressed: =
Time: 2023-04-15 16:08:26.386439, Key pressed: =
Time: 2023-04-15 16:08:27.886541, Key pressed: =
Time: 2023-04-15 16:08:29.387248, Key pressed: =
Time: 2023-04-15 16:08:30.887628, Key pressed: =
Time: 2023-04-15 16:08:32.387273, Key pressed: =
Time: 2023-04-15 16:08:33.887938, Key pressed: =
Time: 2023-04-15 16:08:35.391831, Key pressed: =
Time: 2023-04-15 16:08:36.888050, Key pressed: =
Time: 2023-04-15 16:08:38.391913, Key pressed: =
Time: 2023-04-15 16:08:39.891417, Key pressed: =
Time: 2023-04-15 16:08:41.391427, Key pressed: =
Time: 2023-04-15 16:08:42.887073, Key pressed: =
Time: 2023-04-15 16:08:44.391532, Key pressed: =
Time: 2023-04-15 16:08:45.886976, Key pressed: =
Time: 2023-04-15 16:08:47.391454, Key pressed: =
Time: 2023-04-15 16:08:48.887029, Key pressed: =
Time: 2023-04-15 16:08:50.390994, Key pressed: =
Time: 2023-04-15 16:08:51.891805, Key pressed: =
Time: 2023-04-15 16:08:53.402229, Key pressed: =
Time: 2023-04-15 16:08:54.886858, Key pressed: =
Time: 2023-04-15 16:08:56.391299, Key pressed: =
Time: 2023-04-15 16:08:57.887322, Key pressed: =
Time: 2023-04-15 16:08:59.387288, Key pressed: =
Time: 2023-04-15 16:09:00.887221, Key pressed: =
Time: 2023-04-15 16:09:02.387332, Key pressed: =
Time: 2023-04-15 16:09:03.887333, Key pressed: =
Time: 2023-04-15 16:09:05.382479, Key pressed: =
Time: 2023-04-15 16:09:06.882388, Key pressed: =
Time: 2023-04-15 16:09:08.387053, Key pressed: =
Time: 2023-04-15 16:09:09.886804, Key pressed: =
Time: 2023-04-15 16:09:11.387209, Key pressed: =
Time: 2023-04-15 16:09:12.886740, Key pressed: =
Time: 2023-04-15 16:09:14.386550, Key pressed: =
Time: 2023-04-15 16:09:15.881644, Key pressed: =
Time: 2023-04-15 16:09:17.387196, Key pressed: =
Time: 2023-04-15 16:09:18.898022, Key pressed: =
Time: 2023-04-15 16:09:20.382458, Key pressed: =
Time: 2023-04-15 16:09:21.887074, Key pressed: =
Time: 2023-04-15 16:09:23.386769, Key pressed: =
Time: 2023-04-15 16:09:24.886285, Key pressed: =
Time: 2023-04-15 16:09:26.386029, Key pressed: =
Time: 2023-04-15 16:09:27.886471, Key pressed: =
Time: 2023-04-15 16:09:29.386191, Key pressed: =
Time: 2023-04-15 16:09:30.890687, Key pressed: =
Time: 2023-04-15 16:09:32.386870, Key pressed: =
Time: 2023-04-15 16:09:33.887714, Key pressed: =
Time: 2023-04-15 16:09:35.387216, Key pressed: =
Time: 2023-04-15 16:09:36.888016, Key pressed: =
Time: 2023-04-15 16:09:38.382927, Key pressed: =
Time: 2023-04-15 16:09:39.882945, Key pressed: =
Time: 2023-04-15 16:09:41.381985, Key pressed: =
Time: 2023-04-15 16:09:42.897618, Key pressed: =
Time: 2023-04-15 16:09:44.386639, Key pressed: =
Time: 2023-04-15 16:09:45.887452, Key pressed: =
Time: 2023-04-15 16:09:47.387197, Key pressed: =
Time: 2023-04-15 16:09:48.882164, Key pressed: =
Time: 2023-04-15 16:09:50.386700, Key pressed: =
Time: 2023-04-15 16:09:51.886723, Key pressed: =
Time: 2023-04-15 16:09:53.387108, Key pressed: =
Time: 2023-04-15 16:09:54.887045, Key pressed: =
Time: 2023-04-15 16:09:56.386654, Key pressed: =
Time: 2023-04-15 16:09:57.886409, Key pressed: =
Time: 2023-04-15 16:09:59.390482, Key pressed: =
