Time: 2023-05-17 10:11:30.133310, Key pressed: 3
Time: 2023-05-17 10:11:30.382805, Key pressed: 3
Time: 2023-05-17 10:11:30.420801, Key pressed: 3
Time: 2023-05-17 10:11:30.460209, Key pressed: 3
Time: 2023-05-17 10:11:30.484291, Key pressed: 3
Time: 2023-05-17 10:11:30.522830, Key pressed: 3
Time: 2023-05-17 10:11:30.551718, Key pressed: 3
Time: 2023-05-17 10:11:30.797940, Key pressed: 3
Time: 2023-05-17 10:11:31.534835, Key pressed: 2
Time: 2023-05-17 10:11:32.576556, Key pressed: 1
Time: 2023-05-17 10:11:32.834991, Key pressed: 1
Time: 2023-05-17 10:11:32.863308, Key pressed: 1
Time: 2023-05-17 10:11:33.231186, Key pressed: 3
Time: 2023-05-17 10:11:33.487391, Key pressed: 3
Time: 2023-05-17 10:11:34.196844, Key pressed: 3
Time: 2023-05-17 10:11:34.386310, Key pressed: 1
Time: 2023-05-17 10:11:34.434287, Key pressed: 2
Time: 2023-05-17 10:11:34.688448, Key pressed: 2
Time: 2023-05-17 10:11:34.723285, Key pressed: 2
Time: 2023-05-17 10:11:34.751406, Key pressed: 2
Time: 2023-05-17 10:11:34.790663, Key pressed: 2
Time: 2023-05-17 10:11:34.824119, Key pressed: 2
Time: 2023-05-17 10:11:34.853120, Key pressed: 2
Time: 2023-05-17 10:11:34.887235, Key pressed: 2
Time: 2023-05-17 10:11:34.920942, Key pressed: 2
Time: 2023-05-17 10:11:34.949867, Key pressed: 2
Time: 2023-05-17 10:11:34.983906, Key pressed: 2
Time: 2023-05-17 10:11:35.017846, Key pressed: 2
Time: 2023-05-17 10:11:35.051204, Key pressed: 2
Time: 2023-05-17 10:11:35.096630, Key pressed: 2
Time: 2023-05-17 10:11:35.130928, Key pressed: 2
Time: 2023-05-17 10:11:35.159656, Key pressed: 2
Time: 2023-05-17 10:11:35.198663, Key pressed: 2
Time: 2023-05-17 10:11:35.227289, Key pressed: 2
Time: 2023-05-17 10:11:35.255876, Key pressed: 2
Time: 2023-05-17 10:11:35.295457, Key pressed: 2
Time: 2023-05-17 10:11:35.329299, Key pressed: 2
Time: 2023-05-17 10:11:35.363698, Key pressed: 2
Time: 2023-05-17 10:11:35.392235, Key pressed: 2
Time: 2023-05-17 10:11:35.426740, Key pressed: 2
Time: 2023-05-17 10:11:36.438600, Key pressed: 3
Time: 2023-05-17 10:11:36.490906, Key pressed: 1
Time: 2023-05-17 10:11:36.511924, Key pressed: 2
Time: 2023-05-17 10:11:36.757187, Key pressed: 2
Time: 2023-05-17 10:11:36.802546, Key pressed: 2
Time: 2023-05-17 10:11:36.837484, Key pressed: 2
Time: 2023-05-17 10:11:36.865578, Key pressed: 2
Time: 2023-05-17 10:11:36.899317, Key pressed: 2
Time: 2023-05-17 10:11:36.933455, Key pressed: 2
Time: 2023-05-17 10:11:36.972265, Key pressed: 2
Time: 2023-05-17 10:11:36.985919, Key pressed: 2
Time: 2023-05-17 10:11:37.040394, Key pressed: 2
Time: 2023-05-17 10:11:37.070167, Key pressed: 2
Time: 2023-05-17 10:11:37.109211, Key pressed: 2
Time: 2023-05-17 10:11:37.137702, Key pressed: 2
Time: 2023-05-17 10:11:37.167248, Key pressed: 2
Time: 2023-05-17 10:11:37.213990, Key pressed: 2
Time: 2023-05-17 10:11:37.241171, Key pressed: 2
Time: 2023-05-17 10:11:37.270417, Key pressed: 2
Time: 2023-05-17 10:11:37.304534, Key pressed: 2
Time: 2023-05-17 10:11:37.337992, Key pressed: 2
Time: 2023-05-17 10:11:37.371649, Key pressed: 2
Time: 2023-05-17 10:11:37.405345, Key pressed: 2
Time: 2023-05-17 10:11:37.440579, Key pressed: 2
Time: 2023-05-17 10:11:37.479648, Key pressed: 2
Time: 2023-05-17 10:11:37.513331, Key pressed: 2
Time: 2023-05-17 10:11:37.551893, Key pressed: 2
Time: 2023-05-17 10:11:37.587888, Key pressed: 2
Time: 2023-05-17 10:11:37.616793, Key pressed: 2
Time: 2023-05-17 10:11:37.650865, Key pressed: 2
Time: 2023-05-17 10:11:37.674035, Key pressed: 2
Time: 2023-05-17 10:11:37.713622, Key pressed: 2
Time: 2023-05-17 10:11:37.752162, Key pressed: 2
Time: 2023-05-17 10:11:37.791184, Key pressed: 2
Time: 2023-05-17 10:11:37.820973, Key pressed: 2
Time: 2023-05-17 10:11:37.858785, Key pressed: 2
Time: 2023-05-17 10:11:37.882601, Key pressed: 2
Time: 2023-05-17 10:11:37.926875, Key pressed: 2
Time: 2023-05-17 10:11:37.956374, Key pressed: 2
Time: 2023-05-17 10:11:37.996349, Key pressed: 2
Time: 2023-05-17 10:11:38.026701, Key pressed: 2
Time: 2023-05-17 10:11:38.063990, Key pressed: 2
Time: 2023-05-17 10:11:38.098186, Key pressed: 2
Time: 2023-05-17 10:11:38.132772, Key pressed: 2
Time: 2023-05-17 10:11:38.161244, Key pressed: 2
Time: 2023-05-17 10:11:38.195485, Key pressed: 2
Time: 2023-05-17 10:11:38.234272, Key pressed: 2
Time: 2023-05-17 10:11:38.268252, Key pressed: 2
Time: 2023-05-17 10:11:38.298114, Key pressed: 2
Time: 2023-05-17 10:11:38.332097, Key pressed: 2
Time: 2023-05-17 10:11:38.369849, Key pressed: 2
Time: 2023-05-17 10:11:38.393867, Key pressed: 2
Time: 2023-05-17 10:11:38.437804, Key pressed: 2
