Time: 2023-05-17 13:51:43.584639, Key pressed: =
Time: 2023-05-17 13:51:45.088991, Key pressed: =
Time: 2023-05-17 13:51:46.585289, Key pressed: =
Time: 2023-05-17 13:51:48.084054, Key pressed: =
Time: 2023-05-17 13:51:49.588180, Key pressed: =
Time: 2023-05-17 13:51:51.083496, Key pressed: =
Time: 2023-05-17 13:51:52.584638, Key pressed: =
Time: 2023-05-17 13:51:54.073403, Key pressed: =
Time: 2023-05-17 13:51:55.579402, Key pressed: =
Time: 2023-05-17 13:51:57.079941, Key pressed: =
Time: 2023-05-17 13:51:58.588939, Key pressed: =
Time: 2023-05-17 13:52:00.088965, Key pressed: =
Time: 2023-05-17 13:52:01.585197, Key pressed: =
Time: 2023-05-17 13:52:03.084541, Key pressed: =
Time: 2023-05-17 13:52:04.580164, Key pressed: =
Time: 2023-05-17 13:52:06.083993, Key pressed: =
Time: 2023-05-17 13:52:07.584439, Key pressed: =
Time: 2023-05-17 13:52:09.079958, Key pressed: =
Time: 2023-05-17 13:52:10.588920, Key pressed: =
Time: 2023-05-17 13:52:12.084075, Key pressed: =
Time: 2023-05-17 13:52:13.584110, Key pressed: =
Time: 2023-05-17 13:52:15.088411, Key pressed: =
Time: 2023-05-17 13:52:16.584632, Key pressed: =
Time: 2023-05-17 13:52:18.079794, Key pressed: =
Time: 2023-05-17 13:52:19.580093, Key pressed: =
Time: 2023-05-17 13:52:21.073881, Key pressed: =
Time: 2023-05-17 13:52:22.578870, Key pressed: =
Time: 2023-05-17 13:52:24.089105, Key pressed: =
Time: 2023-05-17 13:52:25.573885, Key pressed: =
Time: 2023-05-17 13:52:27.079878, Key pressed: =
Time: 2023-05-17 13:52:28.584045, Key pressed: =
Time: 2023-05-17 13:52:30.083930, Key pressed: =
Time: 2023-05-17 13:52:31.573876, Key pressed: =
Time: 2023-05-17 13:52:33.085004, Key pressed: =
Time: 2023-05-17 13:52:34.584751, Key pressed: =
Time: 2023-05-17 13:52:36.088609, Key pressed: =
Time: 2023-05-17 13:52:37.588940, Key pressed: =
